cidade,idsensor,tipo_sangue,nota,data_coleta,latitude,longitude,hora_coleta,hora_entrega,local_coleta,local_entrega,cfp_doador,cpf_consumidor,transportador,testado,temperatura
Caucaia,17,A,3.76043462215807,2018-12-31,123472,98781,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA111,KK8988SFGJKL20,CARRO 0383360,SIM,28
Maracanau,18,A,10,2018-12-31,123473,98782,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA112,KK8988SFGJKL21,CARRO 0383361,SIM,12
Fortaleza,19,A,10,2018-12-31,123474,98783,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA113,KK8988SFGJKL22,CARRO 0383362,SIM,13
Caucaia,20,A,10,2018-12-31,123475,98784,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA114,KK8988SFGJKL23,CARRO 0383363,SIM,14
Maracanau,21,A,8.70511425462459,2018-12-31,123476,98785,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA115,KK8988SFGJKL24,CARRO 0383364,SIM,15
Fortaleza,22,A,10,2018-12-31,123477,98786,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA116,KK8988SFGJKL25,CARRO 0383365,SIM,16
Caucaia,23,A,7.14081690945444,2018-12-31,123478,98787,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA117,KK8988SFGJKL26,CARRO 0383366,SIM,17
Maracanau,24,A,10,2018-12-31,123479,98788,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA118,KK8988SFGJKL27,CARRO 0383367,SIM,18
Fortaleza,25,A,5.33877679202324,2018-12-31,123480,98789,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA119,KK8988SFGJKL28,CARRO 0383368,SIM,19
Caucaia,26,A,8.23533703151876,2018-12-31,123481,98790,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA120,KK8988SFGJKL29,CARRO 0383369,SIM,20
Maracanau,27,A,10,2018-12-31,123482,98791,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA121,KK8988SFGJKL30,CARRO 0383370,SIM,21
Fortaleza,28,A,10,2018-12-31,123483,98792,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA122,KK8988SFGJKL31,CARRO 0383371,SIM,22
Caucaia,29,A,10,2018-12-31,123484,98793,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA123,KK8988SFGJKL32,CARRO 0383372,SIM,23
Maracanau,30,A,10,2018-12-31,123485,98794,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA124,KK8988SFGJKL33,CARRO 0383373,SIM,24
Fortaleza,31,A,10,2018-12-31,123486,98795,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA125,KK8988SFGJKL34,CARRO 0383374,SIM,25
Caucaia,32,A,10,2018-12-31,123487,98796,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA126,KK8988SFGJKL35,CARRO 0383375,SIM,26
Maracanau,33,A,10,2018-12-31,123488,98797,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA127,KK8988SFGJKL36,CARRO 0383376,SIM,27
Fortaleza,34,A,10,2018-12-31,123489,98798,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA128,KK8988SFGJKL37,CARRO 0383377,SIM,28
Caucaia,35,A,10,2018-12-31,123490,98799,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA129,KK8988SFGJKL38,CARRO 0383378,SIM,13
Maracanau,36,A,5.72276235917763,2018-12-31,123491,98800,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA130,KK8988SFGJKL39,CARRO 0383379,SIM,14
Fortaleza,37,A,10,2018-12-31,123492,98801,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA131,KK8988SFGJKL40,CARRO 0383380,SIM,15
Caucaia,38,A,3.66367466568969,2018-12-31,123493,98802,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA132,KK8988SFGJKL41,CARRO 0383381,SIM,16
Maracanau,39,A,10,2018-12-31,123494,98803,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA133,KK8988SFGJKL42,CARRO 0383382,SIM,17
Fortaleza,40,A,10,2018-12-31,123495,98804,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA134,KK8988SFGJKL43,CARRO 0383383,SIM,18
Caucaia,41,A,8.67017098664733,2018-12-31,123496,98805,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA135,KK8988SFGJKL44,CARRO 0383384,SIM,19
Maracanau,42,A,10,2018-12-31,123497,98806,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA136,KK8988SFGJKL45,CARRO 0383385,SIM,20
Fortaleza,43,A,6.66812292339706,2018-12-31,123498,98807,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA137,KK8988SFGJKL46,CARRO 0383386,SIM,21
Caucaia,44,A,10,2018-12-31,123499,98808,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA138,KK8988SFGJKL47,CARRO 0383387,SIM,22
Maracanau,45,A,10,2018-12-31,123500,98809,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA139,KK8988SFGJKL48,CARRO 0383388,SIM,23
Fortaleza,46,A,10,2018-12-31,123501,98810,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA140,KK8988SFGJKL49,CARRO 0383389,SIM,24
Caucaia,47,A,5.52599263200982,2018-12-31,123502,98811,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA141,KK8988SFGJKL50,CARRO 0383390,SIM,25
Maracanau,48,A,10,2018-12-31,123503,98812,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA142,KK8988SFGJKL51,CARRO 0383391,SIM,26
Fortaleza,49,A,10,2018-12-31,123504,98813,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA143,KK8988SFGJKL52,CARRO 0383392,SIM,27
Caucaia,50,A,10,2018-12-31,123505,98814,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA144,KK8988SFGJKL53,CARRO 0383393,SIM,28
Maracanau,51,A,7.92131493827975,2018-12-31,123506,98815,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA145,KK8988SFGJKL54,CARRO 0383394,SIM,29
Fortaleza,52,A,9.42752186209811,2018-12-31,123507,98816,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA146,KK8988SFGJKL55,CARRO 0383395,SIM,13
Caucaia,53,A,6.57462195923734,2018-12-31,123508,98817,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA147,KK8988SFGJKL56,CARRO 0383396,SIM,14
Maracanau,54,A,3.58528079267299,2018-12-31,123509,98818,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA148,KK8988SFGJKL57,CARRO 0383397,SIM,15
Fortaleza,55,A,10,2018-12-31,123510,98819,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA149,KK8988SFGJKL58,CARRO 0383398,SIM,16
Caucaia,56,A,10,2018-12-31,123511,98820,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA150,KK8988SFGJKL59,CARRO 0383399,SIM,17
Maracanau,57,A,5.20392896636961,2018-12-31,123512,98821,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA151,KK8988SFGJKL60,CARRO 0383400,SIM,18
Fortaleza,58,A,10,2018-12-31,123513,98822,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA152,KK8988SFGJKL61,CARRO 0383401,SIM,19
Caucaia,59,A,10,2018-12-31,123514,98823,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA153,KK8988SFGJKL62,CARRO 0383402,SIM,20
Maracanau,60,A,10,2018-12-31,123515,98824,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA154,KK8988SFGJKL63,CARRO 0383403,SIM,21
Fortaleza,61,A,10,2018-12-31,123516,98825,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA155,KK8988SFGJKL64,CARRO 0383404,SIM,22
Caucaia,62,A,10,2018-12-31,123517,98826,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA156,KK8988SFGJKL65,CARRO 0383405,SIM,23
Maracanau,63,A,8.83014518617664,2018-12-31,123518,98827,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA157,KK8988SFGJKL66,CARRO 0383406,SIM,24
Fortaleza,64,A,10,2018-12-31,123519,98828,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA158,KK8988SFGJKL67,CARRO 0383407,SIM,25
Caucaia,65,A,10,2018-12-31,123520,98829,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA159,KK8988SFGJKL68,CARRO 0383408,SIM,26
Maracanau,66,A,10,2018-12-31,123521,98830,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA160,KK8988SFGJKL69,CARRO 0383409,SIM,27
Fortaleza,67,A,9.62683353178122,2018-12-31,123522,98831,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA161,KK8988SFGJKL70,CARRO 0383410,SIM,28
Caucaia,68,A,10,2018-12-31,123523,98832,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA162,KK8988SFGJKL71,CARRO 0383411,SIM,29
Maracanau,69,A,10,2018-12-31,123524,98833,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA163,KK8988SFGJKL72,CARRO 0383412,SIM,14
Fortaleza,70,A,10,2018-12-31,123525,98834,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA164,KK8988SFGJKL73,CARRO 0383413,SIM,15
Caucaia,71,A,10,2018-12-31,123526,98835,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA165,KK8988SFGJKL74,CARRO 0383414,SIM,16
Maracanau,72,A,10,2018-12-31,123527,98836,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA166,KK8988SFGJKL75,CARRO 0383415,SIM,17
Fortaleza,73,A,10,2018-12-31,123528,98837,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA167,KK8988SFGJKL76,CARRO 0383416,SIM,18
Caucaia,74,A,10,2018-12-31,123529,98838,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA168,KK8988SFGJKL77,CARRO 0383417,SIM,19
Maracanau,75,A,9.85218492389591,2018-12-31,123530,98839,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA169,KK8988SFGJKL78,CARRO 0383418,SIM,20
Fortaleza,76,A,10,2018-12-31,123531,98840,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA170,KK8988SFGJKL79,CARRO 0383419,SIM,21
Caucaia,77,A,10,2018-12-31,123532,98841,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA171,KK8988SFGJKL80,CARRO 0383420,SIM,22
Maracanau,78,A,10,2018-12-31,123533,98842,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA172,KK8988SFGJKL81,CARRO 0383421,SIM,23
Fortaleza,79,A,10,2018-12-31,123534,98843,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA173,KK8988SFGJKL82,CARRO 0383422,SIM,24
Caucaia,80,A,0.854700854700855,2018-12-31,123535,98844,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA174,KK8988SFGJKL83,CARRO 0383423,SIM,25
Maracanau,81,A,10,2018-12-31,123536,98845,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA175,KK8988SFGJKL84,CARRO 0383424,SIM,26
Fortaleza,82,A,6.58892996410934,2018-12-31,123537,98846,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA176,KK8988SFGJKL85,CARRO 0383425,SIM,27
Caucaia,83,A,3.7591629597143,2018-12-31,123538,98847,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA177,KK8988SFGJKL86,CARRO 0383426,SIM,28
Maracanau,84,A,10,2018-12-31,123539,98848,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA178,KK8988SFGJKL87,CARRO 0383427,SIM,29
Fortaleza,85,A,10,2018-12-31,123540,98849,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA179,KK8988SFGJKL88,CARRO 0383428,SIM,30
Caucaia,86,A,3.00923016770698,2018-12-31,123541,98850,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA180,KK8988SFGJKL89,CARRO 0383429,SIM,14
Maracanau,87,A,10,2018-12-31,123542,98851,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA181,KK8988SFGJKL90,CARRO 0383430,SIM,15
Fortaleza,88,A,2.26655789131205,2018-12-31,123543,98852,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA182,KK8988SFGJKL91,CARRO 0383431,SIM,16
Caucaia,89,A,10,2018-12-31,123544,98853,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA183,KK8988SFGJKL92,CARRO 0383432,SIM,17
Maracanau,90,A,10,2018-12-31,123545,98854,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA184,KK8988SFGJKL93,CARRO 0383433,SIM,18
Fortaleza,91,A,7.98615732729935,2018-12-31,123546,98855,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA185,KK8988SFGJKL94,CARRO 0383434,SIM,19
Caucaia,92,A,10,2018-12-31,123547,98856,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA186,KK8988SFGJKL95,CARRO 0383435,SIM,20
Maracanau,93,A,10,2018-12-31,123548,98857,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA187,KK8988SFGJKL96,CARRO 0383436,SIM,21
Fortaleza,94,A,10,2018-12-31,123549,98858,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA188,KK8988SFGJKL97,CARRO 0383437,SIM,22
Caucaia,95,A,10,2018-12-31,123550,98859,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA189,KK8988SFGJKL98,CARRO 0383438,SIM,23
Maracanau,96,A,10,2018-12-31,123551,98860,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA190,KK8988SFGJKL99,CARRO 0383439,SIM,24
Fortaleza,97,A,10,2018-12-31,123552,98861,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA191,KK8988SFGJKL100,CARRO 0383440,SIM,25
Caucaia,98,A,10,2018-12-31,123553,98862,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA192,KK8988SFGJKL101,CARRO 0383441,SIM,26
Maracanau,99,A,10,2018-12-31,123554,98863,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA193,KK8988SFGJKL102,CARRO 0383442,SIM,27
Fortaleza,100,A,10,2018-12-31,123555,98864,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA194,KK8988SFGJKL103,CARRO 0383443,SIM,28
Caucaia,101,A,5.56328233657858,2018-12-31,123556,98865,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA195,KK8988SFGJKL104,CARRO 0383444,SIM,29
Maracanau,102,A,10,2018-12-31,123557,98866,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA196,KK8988SFGJKL105,CARRO 0383445,SIM,30
Fortaleza,103,A,10,2018-12-31,123558,98867,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA197,KK8988SFGJKL106,CARRO 0383446,SIM,15
Caucaia,104,A,8.16021167444655,2018-12-31,123559,98868,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA198,KK8988SFGJKL107,CARRO 0383447,SIM,16
Maracanau,105,A,2.38237045860631,2018-12-31,123560,98869,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA199,KK8988SFGJKL108,CARRO 0383448,SIM,17
Fortaleza,106,A,10,2018-12-31,123561,98870,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA200,KK8988SFGJKL109,CARRO 0383449,SIM,18
Caucaia,107,A,10,2018-12-31,123562,98871,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA201,KK8988SFGJKL110,CARRO 0383450,SIM,19
Maracanau,108,A,7.37191301142647,2018-12-31,123563,98872,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA202,KK8988SFGJKL111,CARRO 0383451,SIM,20
Fortaleza,109,A,10,2018-12-31,123564,98873,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA203,KK8988SFGJKL112,CARRO 0383452,SIM,21
Caucaia,110,A,10,2018-12-31,123565,98874,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA204,KK8988SFGJKL113,CARRO 0383453,SIM,22
Maracanau,111,A,7.17540950251094,2018-12-31,123566,98875,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA205,KK8988SFGJKL114,CARRO 0383454,SIM,23
Fortaleza,112,A,10,2018-12-31,123567,98876,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA206,KK8988SFGJKL115,CARRO 0383455,SIM,24
Caucaia,113,A,10,2018-12-31,123568,98877,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA207,KK8988SFGJKL116,CARRO 0383456,SIM,25
Maracanau,114,A,10,2018-12-31,123569,98878,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA208,KK8988SFGJKL117,CARRO 0383457,SIM,26
Fortaleza,115,A,9.81428355730032,2018-12-31,123570,98879,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA209,KK8988SFGJKL118,CARRO 0383458,SIM,27
Caucaia,116,A,10,2018-12-31,123571,98880,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA210,KK8988SFGJKL119,CARRO 0383459,SIM,28
Maracanau,117,A,10,2018-12-31,123572,98881,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA211,KK8988SFGJKL120,CARRO 0383460,SIM,29
Fortaleza,118,A,10,2018-12-31,123573,98882,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA212,KK8988SFGJKL121,CARRO 0383461,SIM,30
Caucaia,119,A,6.73356286898891,2018-12-31,123574,98883,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA213,KK8988SFGJKL122,CARRO 0383462,SIM,31
Maracanau,120,A,10,2018-12-31,123575,98884,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA214,KK8988SFGJKL123,CARRO 0383463,SIM,15
Fortaleza,121,A,10,2018-12-31,123576,98885,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA215,KK8988SFGJKL124,CARRO 0383464,SIM,16
Caucaia,122,A,10,2018-12-31,123577,98886,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA216,KK8988SFGJKL125,CARRO 0383465,SIM,17
Maracanau,123,A,0,2018-12-31,123578,98887,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA217,KK8988SFGJKL126,CARRO 0383466,SIM,18
Fortaleza,124,A,10,2018-12-31,123579,98888,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA218,KK8988SFGJKL127,CARRO 0383467,SIM,19
Caucaia,125,A,10,2018-12-31,123580,98889,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA219,KK8988SFGJKL128,CARRO 0383468,SIM,20
Maracanau,126,A,10,2018-12-31,123581,98890,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA220,KK8988SFGJKL129,CARRO 0383469,SIM,21
Fortaleza,127,A,1.55898985204121,2018-12-31,123582,98891,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA221,KK8988SFGJKL130,CARRO 0383470,SIM,22
Caucaia,128,A,10,2018-12-31,123583,98892,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA222,KK8988SFGJKL131,CARRO 0383471,SIM,23
Maracanau,129,A,1.24857800837935,2018-12-31,123584,98893,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA223,KK8988SFGJKL132,CARRO 0383472,SIM,24
Fortaleza,130,A,6.93288962839712,2018-12-31,123585,98894,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA224,KK8988SFGJKL133,CARRO 0383473,SIM,25
Caucaia,131,A,7.48083037217131,2018-12-31,123586,98895,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA225,KK8988SFGJKL134,CARRO 0383474,SIM,26
Maracanau,132,A,10,2018-12-31,123587,98896,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA226,KK8988SFGJKL135,CARRO 0383475,SIM,27
Fortaleza,133,A,10,2018-12-31,123588,98897,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA227,KK8988SFGJKL136,CARRO 0383476,SIM,28
Caucaia,134,A,10,2018-12-31,123589,98898,03:00:00 AM,05:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA228,KK8988SFGJKL137,CARRO 0383477,SIM,29
Maracanau,135,A,10,2018-12-31,123590,98899,03:00:00 AM,05:00:00 AM,HGF,HEMOCE,9945JJKAHA229,KK8988SFGJKL138,CARRO 0383478,SIM,30
Fortaleza,136,A,10,2018-12-31,123591,98900,03:00:00 AM,05:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA230,KK8988SFGJKL139,CARRO 0383479,SIM,31
Caucaia,137,A,10,2018-12-31,123592,98901,03:00:00 AM,05:00:00 AM,HGF,HEMOCE,9945JJKAHA231,KK8988SFGJKL140,CARRO 0383480,SIM,16
Maracanau,138,A,10,2018-12-31,123593,98902,03:00:00 AM,05:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA232,KK8988SFGJKL141,CARRO 0383481,SIM,17
Fortaleza,139,A,10,2018-12-31,123594,98903,03:00:00 AM,05:00:00 AM,HGF,HEMOCE,9945JJKAHA233,KK8988SFGJKL142,CARRO 0383482,SIM,18
Caucaia,140,A,10,2018-12-31,123595,98904,03:00:00 AM,05:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA234,KK8988SFGJKL143,CARRO 0383483,SIM,19
